,clean
1407,little girl springfield write essay good photo op
1408,uh sure fine
1410,get little place use uh matter tonight
1411,hi lisa simpson
1413,lisa doer know maybe day congressman senator woman senator know
1416,tot shot play stick
1417,ah nice politician care
1420,lisa contest hour
1421,excited sleep winifred beecher howe memorial
1423,early crusader woman right lead floormop rebellion later appear highly unpopular cent piece
1424,okay know miss
1425,  iron sheet iron inequity labor law amen sister
1427,bob stand springfield forest log permit
1428,let way jerry tim berrr
1431,read essay believe word
1432,honest abe way
1434,mr lincoln need advice well country
1435,good time buy house
1436,boy brush proper
1437,look good moustache
1438,  try usin ' turpentine jes ' bad
1439,mr lincoln lisa simpson problem
1440,mr jefferson lisa simpson problem
1441,know problem lincoln memorial crowded
1443,come blame important declaration independence louisiana purchase dumbwaiter
1444,uh maybe go catch bad time
1447,rudy man miracle worker
1451,bart ready room service
1452,kill remember trip expense pay
1453,deficit rag oh yeah deficit rag budget gap digit drag tellin ' ya deficit mess deficit ra g thank
1454,oh guy awful
1455,know honey sit
1456,welcome award luncheon like introduce distinguished judge select scholarship winner
1457,redskin great alonzo flower perennial party candidate wilson defarge senate page brad fletcher skin care consultant rowena wealthy gadabout chilton gaine
1458,essayist lisa simpson lisa lisa
1459,oh lisa simpson read essay
1460,like read different essay
1461,  city washington build stagnant swamp year ago little change stank stink today fetid stench corruption hang air
1463,  take bribe honorable bob arnold worry congressman sure buy vote need dirty money nation dollar liberty justice
1464,senator problem essay contest
1466,little girl lose faith democracy
1468,congressman want drill oil teddy roosevelt head
1472,work uncle sam
1473,vote house bill expulsion bob arnold
1474,mr speaker bill tack pay raise
1476,okay boss happy
1479,  family arrive country month ago speak english money pocket today nationwide chain wheel balancing center america possibly canada family find opportunity star stripe remind wonderful word flag
1480,brief recess judge tabulate vote
1482,yeah speech little crowd pleasin '
1483,sorry dad think nice way america stink
1484,extra extra fed nab rotten rep
1486,imprison congressman bear christian
1487,believe system work
1488,trading gap shuffle heap trouble doing trading gap shuffle yes sir
1490,budget gap trading gap
1491,moment truth win essay bubble o melting pot lift high lamp green lady usa o k cesspool potomac
1492,cesspool cesspool cesspool cesspool cesspool
1493,winner usa o k truong van dinh
1494,miss crowley thank sized novelty check like share honor fellow essayist particularly courageous lisa simpson inflammatory rhetoric remind price freedom eternal vigilance
1497,let tell lisa s little year old muckraker ess catch crook pay day ball
1500,li teach stand believe
1501,homer silly goose weed whacker edge go to day
1503,picture half hee hee finish tomorrow come strap feed bag go to fire old propane elaine heat meat nummy nummy num
1505,flander have beef thon incredible ned ible maude acious vittle
1506,think mean have barbecue
1508,try friendly know give ned flander chance
1509,oh look care ned flander nice guy world jerk end story
1510,hold thing little well
1511,excuse well thank lot marge place
1513,wrong worth feel inch tall find kind person marge simpson president international love flander fan club
1514,fee fi fo fum smell potato au gratin marge simp son mmmm mmm
1515,hi ned homer send apology uh important work plant care
1516,return exciting fifteenth round action canadian football league draft
1517,saskatchewan rough rider score rouge season jack kicker sorely need
1518,stupid flander show ahead marge ball game dead eat cry eye go flander ' oh flander ' house leave homer food laugh laugh grave
1519,boy mmmmmmmm bar b que
1520,hey great ya nice seein ' ya
1522,okay thank comin '
1525,electricity electricity freeze tag
1529,lie like fly booger eye
1530,fly funny booger icing cake
1531,friend love sinister motive ask sinister latin left hand joking
1533,friday say toodle oo pharmaceutical game
1534,kid noose wear year
1536,sir like americans leave hand let tell be peach cream writing gets smear lord help want drive standard transmission
1537,sir open stop store southpaw left hand apple peeler left hand zither go to leftorium
1538,homer dyin ' know think leftorium
1539,uh sound like pretty dumb idea
1540,know little risky go to lot hard work gosh darn go to lot fun
1541,fun store flander merry old land oz
1542,oh springfield mall
1547,want wish homer
1552,come homer get ambition wishin '
1553,pant flander wish fast
1557,yesssss oh yessss read weep face get chicken bone
1559,will come true
1562,bart hour day watch tv
1564,think little fresh air maybe exercise
1565,yeah ya go to
1566,marge tv give ask little boy good friend
1567,problem speak million child stare tv instead get need exercise child parent ashamed
1568,hello akira ha
1569,hurt know ancient art karate
1570,karate focus mind give self confidence
1571,people walk life doctor
1575,  landscape architect
1579,high karate low low price
1580,tell lie great deal
1582,hey mom 'bout learn karate happy
1583,sound fine bart
1584,marge knock tv help think owe somebody little apology
1586,ow ow ow ow
1587,hey flander business
1588,oh little pokey thing go to pick
1590,money away accident
1591,thank validate parking
1594,n mall security guard take good long look left hand ice cream scoop
1595,greeting akira guide path true karate map art war sun tzu teach important lesson learn karate need use
1596,um excuse sir know hit guy break nunchuck
1597,ah yes impetuousness youth let read
1598,akira good man break block ice head
1599,fill head wisdom hit ice
1600,yo sensei bathroom
1602,pay money read book hell
1603,come touch death touch death touch death
1605,tell flander ' store dee serte think best buddy marge
1606,dad know schadenfreude
1607,know schadenfreude tell die know
1608,german term shameful joy take pleasure suffering
1609,oh come lisa glad fall flat butt usually happy comfortable surround love one make feel opposite shameful joy thing
1611,boy germans word
1612,bart learn karate school today
1613,yeah come boy well worth buck
1614,uh learn touch death
1615,ooh touch death
1616,permit demonstrate lisa shut eye soon peace
1617,hey quit bart quit hey quit quit quit m o o o m
1618,bart use touch death sister
1619,uh oh got to karate class
1621,right comin ' outta way step aside lady
1622,hey boy class
1623,today learn rip man heart die
1624,oh learn ' m
1626,love lefty shoot glass
1627,leave handed pink shear
1628,pink shear let food court steal baked potato
1629,hey flander busy hour
1630,oh oh oh expect thing start pick soon think word mouth startin ' spread
1631,hey hear validate parking ticket purchase
1632,oh right rain leave rain
1635,hey homer neighbor store
1636,lousy sit day great job place
1637,crummy right hand corkscrew sell
1638,uh actually moe
1640,hey lis change channel
1643,grow weary new channel change
1645,apple apple apple come candy bar hey know apple want sink go to let them time
1646,simpson box mr burns ' desk chop chop
1647,ah look smither member nuclear family helpful suggestion
1649,simpson eh hmm hmmm monty burn
1650,hm handsome owner sight distract female employee smither
1652,oh real apple vend machine sentence
1653,leave mr burn
1654,oh course worry plenty apple away precious apple
1656,tell secretary say free apple right promise
1657,damn infernal gizmo kingdom left hand opener
1658,um mr burn
1659,come homer tell store dyin '
1662,sure interested dollar asking price
1664,hey flexible pay night change mind
1665,hey flander okay
1666,oh yeah sure think rid clutter like
1667,oh good good catch dead buy hello
1668,ah get eye gas grill butane beaut
1670,homer pay dollar year
1671,swindle friend buck leave
1672,oh homer reasonable
1673,sorry cash neddie homer money bye bye neddie bye bye
1679,change mind pass fancy throw lawn chair maybe tool bench rekindle interest
1680,hey bartle eeboobely care steak rooney
1681,sounds scrump didly umptious dear old daddly doodly
1683,homer flander ' entire living room set pay
1685,seventy dollar ne desperate
1686,sure discourage scavenger human misery
1687,hey hand china hutch
1688,good afternoon sir chuck ellis springfield collection agency ask think need pay bill
